미인,이럴거면,유혹의 소나타,미워요,잔소리,Love Love Love,안녕,흰눈,추억은 사랑을 닮아,사랑…후에,So Hot,하루 하루,Love,Nobody,서커스,마지막인사,사랑과 전쟁,U-Go-Girl,천국,가지마 가지마,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,심장이 없어,사랑비,Fire,쏘리 쏘리,Lollipop,Bad Girl Good Girl,잔소리,죽을 만큼 아파서,못해,죽어도 못 보내,Oh!,2 Different Tears,너 때문에 미쳐,밥만 잘 먹더라,Go Away,Roly-Poly,바람났어,내가 제일 잘 나가,비가 오는 날엔,TV를 껐네…,So Cool,UGLY,좋은 날,살다가 한번쯤,안녕이라고 말하지마,강남스타일,나혼자,벚꽃 엔딩,Loving U,FANTASTIC BABY,I Love  You,정말로 사랑한다면,Heaven,하루 끝,첫사랑,자니,눈물,NoNoNo,눈물샤워,물음표,Give It To Me,이름이 뭐예요?,모노드라마,My Love,있다 없으니까,썸,야생화,눈. 코. 입,금요일에 만나요,한여름밤의 꿀,봄 사랑 벚꽃 말고,Mr.Chu,너의 의미,Something,200%,뱅뱅뱅,같은 시간 속의 너,꺼내 먹어요,이럴거면 그러지말지,위잉위잉,LOSER,BAE BAE,그냥,양화대교,우연히 봄
14,19,12,22,21,21.5,17,15,17.5,18.5,25.5,19.5,28,24.5,18,14,21.5,18,16,22.5,18.5,23,22,14,21.5,23,19.5,22,19,14,22,19.5,26.5,21.5,18,26.5,26.5,19.5,24.5,19.5,12,14,21,20,24,19,21,21,24.5,22,20,25,20,22,22,26.5,14,27,26,16,17,17.5,27,26,17.5,26.5,16,18,21.5,26.5,19,15.5,19,21.5,18.5,24.5,20,24,17,14.5,25,24,17.5,24.5,18,17,22,18,17.5,25
15,20,16,23,22,21.5,15,19,16,18,25.5,18.5,27,24.5,19,14,23,18,16,22.5,20,23,22,14,22.5,24.5,19.5,22,19,14,26,19.5,24,21.5,17.5,28,26.5,19.5,23,18.5,16,14,21.5,20,24,19,21,21,23,22.5,20,25,21.5,21.5,22,25,12.5,26,29,15,17,17.5,26,25,17.5,24,17.5,18,22.5,25.5,20,18.5,21,21.5,21.5,23,24.5,25,17.5,14.5,21,23,17.5,21.5,19,18,22,17,18.5,26
15,20,16,24,19.5,25.5,17,19.5,16,17,22.5,18.5,27,24.5,19,14,21.5,18,16,21,18.5,23,22,14,21.5,25.5,21,22,19,14,26,20,22,22.5,16,28,26.5,19.5,22,18.5,16,14,21,20,24,19,25.5,21,22,24,20,25,21.5,22,22,25,12.5,25,28,15,17,17.5,27,24,17.5,25,16,18,21.5,25.5,24.5,18.5,22,23,21,24.5,23,24,21.5,14.5,21,22,17.5,24.5,21,12.5,22,15.5,19.5,28
11,20,16,22,19.5,24.5,18,18,15.5,18,22.5,18.5,29,24.5,19,14,23,18,16,22.5,17.5,23,22,14,21.5,25.5,19.5,23,21.5,14,24,19.5,22.5,20,12,28,25.5,19.5,22,18.5,16,14,22,22.5,19.5,19,25,21,21.5,19.5,20,25,20,21.5,22,25,12.5,25,26,14,17,17.5,26,22,17.5,29,17.5,18,21.5,25.5,23,19.5,22,23,18.5,22,23,21,20,14.5,19.5,22,17.5,22.5,15,18,22,18,18.5,27
14,21,16,22,19.5,20,19,14,16,21,23,18.5,27,24.5,19,14,25.5,18,16,22.5,18.5,23,22,14,21.5,24.5,18.5,23,17.5,14,21,18.5,22,19.5,12,25,26.5,21,20,18.5,15,14,22.5,21.5,19.5,19,22.5,20,22,21,20,25,20,20,22,24,12.5,26,25,14,17,17.5,27,24,17.5,28,16,18,21.5,26.5,22,19.5,23,23,22.5,22,23,22.5,20,14.5,21,21,17.5,26.5,19,18,22,15.5,17.5,26
15,20,16,22,11.5,27,18,19,16,18,23,18.5,25,22.5,16,14,23,18,16,21.5,17.5,24.5,22,14,21.5,24.5,18,23,21.5,14,21,19.5,22.5,20,12,25,26.5,19.5,23,18.5,14,14,21,20,19.5,19,22.5,21.5,15,22,20,25,21.5,19,22,24,15,25,24,12,17,17.5,26,26,17.5,26.5,16,17.5,18.5,25.5,22,18.5,21,21.5,22.5,22,27,22.5,19,14.5,19.5,22,17.5,25.5,19,12.5,22,17,17.5,25
16,19,16,24.5,18.5,26,19,17,15.5,17,23,17.5,23,22.5,18,14,23,18,16,21.5,18.5,23,24,14,21.5,23,18,23,17.5,14,21,20,26.5,21.5,12,25,26.5,21,22,18.5,16,14,21,19.5,24,19,25.5,21.5,22,22,20,25,21.5,20,22,22.5,15,25,25,12,18.5,17.5,27,25,17.5,26.5,17.5,17.5,21.5,28,23,18.5,21,23,22.5,28,23,22.5,17.5,14.5,22.5,22,17.5,24.5,18,17,22,15.5,17.5,25
17,20,16,24.5,18,25.5,19,18,16,15.5,23,17.5,26,24.5,19,14,21.5,18,16,21.5,20,23,22,15.5,21.5,23,18.5,23,21.5,14,21,21.5,25,22.5,17.5,24,25.5,19.5,23,19.5,16,14,21,20,24,19,25,21.5,21.5,22.5,20,25,21.5,21.5,22,22.5,14,25,26,18,17,17.5,26,24,17.5,28,16,16,22.5,26.5,24.5,15.5,19,21.5,22.5,27,27,22.5,19,14.5,25,21,17.5,24.5,19,17,22,15,18.5,25
15,21,16,24.5,18.5,24.5,19,14,17.5,17.5,23,18.5,26,24.5,19,14,20,18,16,21.5,18.5,24.5,22,12.5,21.5,24.5,12.5,23,17.5,14,24,21.5,26,21.5,16,24,24.5,19.5,22,17.5,16,14,21,20,24,19,22.5,22.5,20,22,20,25,22,19,22,19.5,14,26,26,16,15.5,17.5,25,22,17.5,26.5,16,15.5,24,25.5,25,15.5,21,20,21,27,23,22.5,21.5,14.5,24,21,17.5,21.5,18,18,24,14,19.5,22.5
14,21,18,25,11.5,25.5,19,16,16,15,22.5,18.5,26,24.5,14,14,28.5,22,16,21.5,17.5,25.5,23,14,19.5,25.5,18.5,23,21.5,14,24,22.5,25,21.5,17.5,24,22.5,18.5,23,17.5,16,14,21,17.5,19.5,19,24,23,21.5,17,20,25,22,19,22,19.5,14,25,26.5,11,15.5,17.5,30,26,17.5,26.5,16,16,24,25.5,24.5,14.5,21,20,22.5,26,23,25,19,14.5,24,19,17.5,22.5,19,18,25,18,18.5,25
