미인,이럴거면,유혹의 소나타,미워요,잔소리,Love Love Love,안녕,흰눈,추억은 사랑을 닮아,사랑…후에,So Hot,하루 하루,Love,Nobody,서커스,마지막인사,사랑과 전쟁,U-Go-Girl,천국,가지마 가지마,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,심장이 없어,사랑비,Fire,쏘리 쏘리,Lollipop,Bad Girl Good Girl,잔소리,죽을 만큼 아파서,못해,죽어도 못 보내,Oh!,2 Different Tears,너 때문에 미쳐,밥만 잘 먹더라,Go Away,Roly-Poly,바람났어,내가 제일 잘 나가,비가 오는 날엔,TV를 껐네…,So Cool,UGLY,좋은 날,살다가 한번쯤,안녕이라고 말하지마,강남스타일,나혼자,벚꽃 엔딩,Loving U,FANTASTIC BABY,I Love  You,정말로 사랑한다면,Heaven,하루 끝,첫사랑,자니,눈물,NoNoNo,눈물샤워,물음표,Give It To Me,이름이 뭐예요?,모노드라마,My Love,있다 없으니까,썸,야생화,눈. 코. 입,금요일에 만나요,한여름밤의 꿀,봄 사랑 벚꽃 말고,Mr.Chu,너의 의미,Something,200%,뱅뱅뱅,같은 시간 속의 너,꺼내 먹어요,이럴거면 그러지말지,위잉위잉,LOSER,BAE BAE,그냥,양화대교,우연히 봄
14,17.5,16,22,15.5,22.5,17,16,18.5,17,22.5,21.5,26,24.5,19,14,24.5,18,16,21.5,23,24.5,22,19.5,21.5,24.5,19.5,20,19,20,21.5,21.5,21,17,17.5,25,22.5,19.5,24.5,19.5,19,14,21,18.5,24,18,21,21,21.5,17.5,20,30,20,21.5,15,19.5,14,26,26,18,14.5,17.5,26,24.5,17.5,25,13,19,21,25.5,23,18.5,21,16,22.5,25,21.5,24,19,14.5,24,23,16,26.5,15,18,20,19,17.5,25
14,18,16,19,15.5,21.5,19,15,19,15.5,22.5,20,26,24.5,21,14,23,18,16,21.5,25.5,23,22,12.5,22.5,24.5,21,22,19,18.5,21.5,22.5,22,18.5,18,24,21.5,17,24.5,19.5,18,14,21.5,20,24,19,21,21,22,17,20,29,20,20,15,21,14,27,25,16,15.5,17.5,25,24.5,17.5,26,13,13,21.5,25.5,22,18,20,17.5,22.5,25,20,22.5,20,14.5,24,23,16,25.5,19,17,20,18,17.5,26
19,17.5,16,19,15.5,21.5,19,14.5,18.5,14,22.5,20,26,25.5,20,14,22.5,18,16,21.5,26,23,22,14,21.5,24.5,19.5,23,19,17.5,21.5,21.5,25,19.5,19,24,22.5,19.5,24.5,19.5,16,14,21,20,19.5,19,21,21,24.5,17.5,20,27,19,19,15,21,15,25,24,11,17,17.5,24.5,22,17.5,26,16,20,21.5,25.5,19,15.5,20,21.5,22.5,24.5,21.5,28,21.5,14.5,25,24,17.5,24.5,15,15.5,22,17,19.5,27
18,18,16,19,15,22.5,22,15,17.5,15.5,25.5,19.5,26,25.5,19,14,23,18,16,22.5,25.5,27,22,14,22.5,23,18.5,22,19,17.5,21.5,21.5,25,18.5,19,24,24.5,19.5,23,19.5,19,14,22,20,19.5,19,21,20,24.5,22,20,20,20,19,15,21,15,25,25,12,15.5,17.5,25,22,17.5,26,13,20,21.5,26.5,20,15.5,20,22,22.5,25,23,26.5,20,14.5,21,25,17.5,26.5,15,11,22,17,20,26
18,18,16,19,15.5,23,22,15,16,17,25.5,19.5,26,25.5,20,14,24.5,18,15,21.5,25.5,27,24,14,21.5,23,18,23,21.5,18.5,16,21.5,24.5,19.5,20,24,24,21.5,23,19.5,19,14,22.5,20,19.5,19,22.5,20,24.5,21,20,20,20,22,15,21,15,25,26,14,14.5,17.5,26,24.5,17.5,25,12,20,21,25.5,19,15.5,20,21.5,21.5,24.5,23,28,17.5,14.5,21,24,17.5,25.5,15,15.5,22,15.5,19.5,25
17,20,16,19,19.5,22.5,22,15,17.5,18,22.5,17.5,25.5,25.5,18,14,24.5,18,15,19.5,26,27,22,14,21.5,24.5,18,22,17.5,18.5,21.5,21.5,25,20,18,25,22.5,19.5,23,19.5,19,14,21,21.5,22,19,24,20,22,21,20,20,21.5,17.5,17,19.5,15,25,26,18,15.5,17.5,25,25,17.5,26,13,20,21.5,28,20,18.5,21,20,22.5,25,23,25,21.5,14.5,19.5,23,17.5,24.5,18,15.5,22,18,18.5,26
18,20,16,19.5,19.5,20,22,17,13,18,22.5,19.5,25.5,25.5,19,14,27,18,15,21.5,24.5,27,22,14,19.5,23,12.5,23,19,14,21.5,20,26,19.5,17.5,25,22.5,18.5,24.5,19.5,19,14,21,21.5,21,19,22.5,20,23,22,20,20,22,22,15,19.5,14,26,28,16,17,17.5,26,26,17.5,29,20,20,19.5,26.5,20,18,22,19,21.5,25,23,26.5,20,14.5,21,21,17.5,26.5,19,11,22,17,19.5,28
17,18,16,19,15,22.5,22,17,13,18.5,23,19.5,25.5,24.5,20,14,24.5,18,15,21.5,18.5,25.5,22,14,21.5,24.5,19.5,23,19,14,22,20,26,18.5,18,25,21.5,19.5,24.5,18.5,18,14,21,20,17,19,21,20,23,22,20,20,22,22,17,21,12.5,27,26,15,15.5,17.5,25,26,17.5,28,19,15,19.5,25.5,19,15.5,22,24.5,21.5,24.5,21.5,28,20,14.5,19.5,24,16,21.5,18,18.5,22,18,20,27
17,21,16,21.5,15,23,21,14,18.5,18,23,19.5,26,24.5,19,14,24,18,15,21.5,20,24.5,22,14,21.5,25.5,19.5,23,19,14,23,24.5,26.5,17.5,17.5,25,24.5,19.5,23,18.5,19,14,21,19.5,21,19,21,20,21.5,22.5,20,32,22,21.5,18,21,12.5,25,28,15,14.5,17.5,26,26.5,17.5,26.5,17.5,15,21.5,25.5,22,15.5,22,23,21.5,24.5,23,25,19,14.5,21,22,17.5,22.5,19,18.5,22,17,19.5,26
16,20,16,22,15.5,23,21,14,19,17,23,19.5,26,26.5,18,14,24,18,16,21.5,18.5,25.5,22,14,19.5,24.5,19.5,23,19,14,24,24.5,29,19.5,18,26,24.5,19.5,22,18.5,19,14,21,19.5,19.5,19,21,21,22,22,20,31.5,21.5,20,19,21,12.5,25,28,14,17,17.5,25,26.5,17.5,25,19,16,21,25.5,20,17,22,21.5,22.5,23,24.5,24,17.5,14.5,25,23,16,24.5,18,18,22,18,18.5,25
16,19,15,23,15,22.5,19,15,18.5,18,22.5,19.5,28,24.5,19,14,24.5,18,16,24,17.5,24.5,22,12.5,21.5,24.5,19.5,23,21.5,14,24,20,26,19.5,19,26,24,19.5,22,18.5,19,14,21,19.5,19.5,19,22.5,21,23,22.5,20,30,20,20,18,19.5,12.5,25,26,14,18.5,17.5,25,25.5,17.5,29,19,15,22.5,26.5,19,17,22,20,21.5,24.5,23,22.5,19,14.5,24,24,17.5,26.5,19,17,20,18.5,18.5,25
17,18,15,23,15.5,20,18,17,18.5,18.5,22.5,19.5,28,22.5,16,14,25.5,18,16,22.5,18.5,23,24,12.5,21.5,23,19.5,23,17.5,14,24,20,29,19.5,19,26,22.5,19.5,20,19.5,19,14,21,17.5,24,19,24,21,23,22,20,30,20,17.5,22,19.5,14,25,28,12,17,17.5,26,26,17.5,28,19,16,19.5,25.5,22,17,21,19,21.5,24.5,22.5,25,16,14.5,24,24,17.5,28.5,21,17,20,19.5,19.5,25
15,19,14,22,21,22.5,17,17,17.5,18,22.5,19.5,28,22.5,16,14,25.5,18,16,21.5,17.5,23,22,14,19.5,23,19.5,22,19,14,24,20,25,20,20,26.5,22.5,21.5,23,19.5,19,14,21.5,16,24,19,22.5,21,23,22.5,20,25,20,21.5,22,25,15,29,28,14,17,17.5,26,28.5,17.5,26.5,17.5,18,21,28,20,15.5,21,20,21,23,21.5,19.5,17.5,14.5,24,24,17.5,26.5,19,15.5,20,18.5,18.5,26
